PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
12M,12M,12112M,FULTON,12M,3.0,65.0,FULTON,0.0,4.0,284.0,19.0,45.0,0.0,8.0,12M,1.0,71.0,0.0,FULTON,both
12J,12J,12112J,FULTON,12J,6.0,52.0,FULTON,0.0,5.0,289.0,27.0,46.0,1.0,8.0,12J,0.0,61.0,0.0,FULTON,both
12H,12H,12112H,FULTON,12H,6.0,65.0,FULTON,0.0,7.0,321.0,20.0,51.0,0.0,10.0,12H,0.0,100.0,0.0,FULTON,both
12F,12F,12112F,FULTON,12F,8.0,25.0,FULTON,0.0,2.0,96.0,15.0,22.0,1.0,4.0,12F,0.0,28.0,0.0,FULTON,both
04V,04V,12104V,FULTON,04V,5.0,70.0,FULTON,0.0,2.0,204.0,32.0,29.0,3.0,6.0,04V,1.0,72.0,0.0,FULTON,both
04I,04I,12104I,FULTON,04I,42.0,24.0,FULTON,0.0,0.0,63.0,18.0,36.0,0.0,9.0,04I,0.0,23.0,0.0,FULTON,both
01F,01F,12101F,FULTON,01F,9.0,26.0,FULTON,0.0,2.0,71.0,12.0,13.0,0.0,5.0,01F,1.0,32.0,0.0,FULTON,both
01G,01G,12101G,FULTON,01G,79.0,62.0,FULTON,0.0,4.0,159.0,21.0,48.0,0.0,24.0,01G,3.0,92.0,0.0,FULTON,both
01D,01D,12101D,FULTON,01D,24.0,44.0,FULTON,0.0,2.0,47.0,8.0,18.0,0.0,1.0,01D,0.0,24.0,0.0,FULTON,both
01H,01H,12101H,FULTON,01H,2.0,17.0,FULTON,0.0,5.0,83.0,7.0,15.0,1.0,4.0,01H,0.0,18.0,0.0,FULTON,both
05B,05B,12105B,FULTON,05B,53.0,32.0,FULTON,0.0,5.0,166.0,40.0,39.0,1.0,16.0,05B,1.0,61.0,0.0,FULTON,both
01S,01S,12101S,FULTON,01S,12.0,41.0,FULTON,1.0,5.0,168.0,20.0,37.0,0.0,6.0,01S,0.0,43.0,0.0,FULTON,both
01C2,01C2,12101C,FULTON,01C,11.0,17.0,FULTON,0.0,0.0,103.0,10.0,27.0,0.0,4.0,01C,0.0,44.0,0.0,FULTON,both
01T,01T,12101T,FULTON,01T,54.0,45.0,FULTON,0.0,3.0,103.0,18.0,51.0,1.0,21.0,01T,2.0,48.0,0.0,FULTON,both
